location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred
Indonesia,IDN,14/4/2021,16046363,10477506,5568857,,240403,330147,5.82,3.8,2.02,,1198,184250,0.067
Indonesia,IDN,15/4/2021,16309777,10596373,5713404,,263414,333540,5.92,3.85,2.07,,1211,183795,0.067
Indonesia,IDN,16/4/2021,16526130,10706184,5819946,,216353,256946,6,3.89,2.11,,933,131701,0.048
Indonesia,IDN,17/4/2021,16690960,10801244,5889716,,164830,240715,6.06,3.92,2.14,,874,120830,0.044
Indonesia,IDN,18/4/2021,16739340,10828419,5910921,,48380,227682,6.08,3.93,2.15,,826,111835,0.041
Indonesia,IDN,19/4/2021,17017666,10966934,6050732,,278326,206448,6.18,3.98,2.2,,749,100735,0.037
Indonesia,IDN,20/4/2021,17233178,11101291,6131887,,215512,203888,6.26,4.03,2.23,,740,103904,0.038
Indonesia,IDN,21/4/2021,17591216,11269213,6322003,,358038,220693,6.39,4.09,2.29,,801,113101,0.041
Indonesia,IDN,22/4/2021,17920908,11432711,6488197,,329692,230162,6.5,4.15,2.36,,835,119477,0.043
Indonesia,IDN,23/4/2021,18265027,11587879,6677148,,344119,248414,6.63,4.21,2.42,,902,125956,0.046
Indonesia,IDN,24/4/2021,18484179,11699585,6784594,,219152,256174,6.71,4.25,2.46,,930,128334,0.047
Indonesia,IDN,25/4/2021,18556227,11733923,6822304,,72048,259555,6.74,4.26,2.48,,942,129358,0.047
Indonesia,IDN,26/4/2021,18842883,11844579,6998304,,286656,260745,6.84,4.3,2.54,,946,125378,0.046
Indonesia,IDN,27/4/2021,19159802,11981034,7178768,,316919,275232,6.95,4.35,2.61,,999,125678,0.046
Indonesia,IDN,28/4/2021,19487346,12112888,7374458,,327544,270876,7.07,4.4,2.68,,983,120525,0.044
Indonesia,IDN,29/4/2021,19847136,12280765,7566371,,359790,275175,7.2,4.46,2.75,,999,121151,0.044
Indonesia,IDN,30/4/2021,20015745,12385886,7629859,,168609,250103,7.27,4.5,2.77,,908,114001,0.041
Indonesia,IDN,1/5/2021,20110846,12443263,7667583,,95101,232381,7.3,4.52,2.78,,843,106240,0.039
Indonesia,IDN,2/5/2021,20135649,12457164,7678485,,24803,225632,7.31,4.52,2.79,,819,103320,0.038
Indonesia,IDN,3/5/2021,20372568,12545372,7827196,,236919,218526,7.39,4.55,2.84,,793,100113,0.036
Indonesia,IDN,4/5/2021,20653919,12672864,7981055,,281351,213445,7.5,4.6,2.9,,775,98833,0.036
Indonesia,IDN,5/5/2021,20984828,12832886,8151942,,330909,213926,7.62,4.66,2.96,,776,102857,0.037
Indonesia,IDN,6/5/2021,21313654,12995710,8317944,,328826,209503,7.74,4.72,3.02,,760,102135,0.037
Indonesia,IDN,7/5/2021,21592945,13136686,8456259,,279291,225314,7.84,4.77,3.07,,818,107257,0.039
Indonesia,IDN,8/5/2021,21868276,13284422,8583854,,275331,251061,7.94,4.82,3.12,,911,120166,0.044
Indonesia,IDN,9/5/2021,21975503,13340957,8634546,,107227,262836,7.98,4.84,3.13,,954,126256,0.046
Indonesia,IDN,10/5/2021,22230343,13475087,8755256,,254840,265396,8.07,4.89,3.18,,963,132816,0.048
Indonesia,IDN,11/5/2021,22485737,13615313,8870424,,255394,261688,8.16,4.94,3.22,,950,134636,0.049
Indonesia,IDN,12/5/2021,22586588,13678323,8908265,,100851,228823,8.2,4.96,3.23,,831,120777,0.044
Indonesia,IDN,13/5/2021,22615110,13695553,8919557,,28522,185922,8.21,4.97,3.24,,675,99978,0.036
Indonesia,IDN,14/5/2021,22620824,13699393,8921431,,5714,146840,8.21,4.97,3.24,,533,80387,0.029
Indonesia,IDN,15/5/2021,22675927,13721627,8954300,,55103,115379,8.23,4.98,3.25,,419,62458,0.023
Indonesia,IDN,16/5/2021,22708311,13737596,8970715,,32384,104687,8.24,4.99,3.26,,380,56663,0.021
Indonesia,IDN,17/5/2021,22870037,13803055,9066982,,161726,91385,8.3,5.01,3.29,,332,46853,0.017
Indonesia,IDN,18/5/2021,23199575,13951975,9247600,,329538,101977,8.42,5.06,3.36,,370,48095,0.017
Indonesia,IDN,19/5/2021,23466389,14099754,9366635,,266814,125686,8.52,5.12,3.4,,456,60204,0.022
Indonesia,IDN,20/5/2021,23905335,14369233,9536102,,438946,184318,8.68,5.22,3.46,,669,96240,0.035
Indonesia,IDN,21/5/2021,24317577,14606331,9711246,,412242,242393,8.83,5.3,3.52,,880,129563,0.047
Indonesia,IDN,22/5/2021,24641165,14815666,9825499,,323588,280748,8.94,5.38,3.57,,1019,156291,0.057
Indonesia,IDN,23/5/2021,24762597,14890933,9871664,,121432,293469,8.99,5.41,3.58,,1065,164762,0.06
Indonesia,IDN,24/5/2021,24816571,14919589,9896982,,53974,278076,9.01,5.42,3.59,,1009,159505,0.058
Indonesia,IDN,25/5/2021,25455786,15330306,10125480,,639215,322316,9.24,5.56,3.68,,1170,196904,0.071
Indonesia,IDN,26/5/2021,25760831,15535998,10224833,,305045,327777,9.35,5.64,3.71,,1190,205178,0.074
Indonesia,IDN,27/5/2021,26063579,15703583,10359996,,302748,308321,9.46,5.7,3.76,,1119,190621,0.069
Indonesia,IDN,28/5/2021,26487346,16000947,10486399,,423767,309967,9.61,5.81,3.81,,1125,199231,0.072
Indonesia,IDN,29/5/2021,26758625,16203829,10554796,,271279,302494,9.71,5.88,3.83,,1098,198309,0.072
Indonesia,IDN,30/5/2021,26889189,16304700,10584489,,130564,303799,9.76,5.92,3.84,,1103,201967,0.073
Indonesia,IDN,31/5/2021,27045507,16413672,10631835,,156318,318419,9.82,5.96,3.86,,1156,213440,0.077
Indonesia,IDN,1/6/2021,27308881,16594581,10714300,,263374,264728,9.91,6.02,3.89,,961,180611,0.066
Indonesia,IDN,2/6/2021,27619247,16766263,10852984,,310366,265488,10.03,6.09,3.94,,964,175752,0.064
Indonesia,IDN,3/6/2021,28027750,17042850,10984900,,408503,280596,10.17,6.19,3.99,,1018,191324,0.069
Indonesia,IDN,4/6/2021,28347058,17291504,11055554,,319308,265673,10.29,6.28,4.01,,964,184365,0.067
Indonesia,IDN,5/6/2021,28702933,17581464,11121469,,355875,277758,10.42,6.38,4.04,,1008,196805,0.071
Indonesia,IDN,6/6/2021,28770360,17643603,11126757,,67427,268739,10.44,6.4,4.04,,975,191272,0.069
Indonesia,IDN,7/6/2021,28972987,17775918,11197069,,202627,275354,10.52,6.45,4.06,,999,194607,0.071
Indonesia,IDN,8/6/2021,29616507,18260482,11356025,,643520,329661,10.75,6.63,4.12,,1197,237986,0.086
Indonesia,IDN,9/6/2021,30155028,18718769,11436259,,538521,362254,10.95,6.79,4.15,,1315,278929,0.101
Indonesia,IDN,10/6/2021,30700350,19211433,11488917,,545322,381800,11.14,6.97,4.17,,1386,309798,0.112
Indonesia,IDN,11/6/2021,31195606,19669968,11525638,,495256,406935,11.32,7.14,4.18,,1477,339781,0.123
Indonesia,IDN,12/6/2021,31603325,20044187,11559138,,407719,414342,11.47,7.28,4.2,,1504,351818,0.128
Indonesia,IDN,13/6/2021,31727380,20158937,11568443,,124055,422431,11.52,7.32,4.2,,1533,359333,0.13
Indonesia,IDN,14/6/2021,32039910,20424048,11615862,,312530,438132,11.63,7.41,4.22,,1590,378304,0.137
Indonesia,IDN,15/6/2021,32603744,20904723,11699021,,563834,426748,11.83,7.59,4.25,,1549,377749,0.137
Indonesia,IDN,16/6/2021,33264392,21448774,11815618,,660648,444195,12.07,7.79,4.29,,1612,390001,0.142
Indonesia,IDN,17/6/2021,33962386,21999256,11963130,,697994,466005,12.33,7.99,4.34,,1691,398260,0.145
Indonesia,IDN,18/6/2021,34551233,22455167,12096066,,588847,479375,12.54,8.15,4.39,,1740,397886,0.144
Indonesia,IDN,19/6/2021,35086248,22873342,12212906,,535015,497560,12.74,8.3,4.43,,1806,404165,0.147
Indonesia,IDN,20/6/2021,35283078,23043372,12239706,,196830,507957,12.81,8.36,4.44,,1844,412062,0.15
Indonesia,IDN,21/6/2021,35586159,23265773,12320386,,303081,506607,12.92,8.44,4.47,,1839,405961,0.147
Indonesia,IDN,22/6/2021,36304801,23789884,12514917,,718642,528722,13.18,8.64,4.54,,1919,412166,0.15
Indonesia,IDN,23/6/2021,36998897,24358856,12640041,,694096,533501,13.43,8.84,4.59,,1936,415726,0.151
Indonesia,IDN,24/6/2021,37699231,24929442,12769789,,700334,533835,13.68,9.05,4.64,,1938,418598,0.152
Indonesia,IDN,25/6/2021,38394659,25482036,12912623,,695428,549061,13.94,9.25,4.69,,1993,432410,0.157
Indonesia,IDN,26/6/2021,39050655,26032131,13018524,,655996,566344,14.17,9.45,4.73,,2056,451256,0.164
Indonesia,IDN,27/6/2021,40224794,27115763,13109031,,1174139,705959,14.6,9.84,4.76,,2562,581770,0.211
Indonesia,IDN,28/6/2021,40601932,27419898,13182034,,377138,716539,14.74,9.95,4.78,,2601,593446,0.215
Indonesia,IDN,29/6/2021,41634512,28304774,13329738,,1032580,761387,15.11,10.27,4.84,,2764,644984,0.234
Indonesia,IDN,30/6/2021,42744641,29279142,13465499,,1110129,820821,15.52,10.63,4.89,,2979,702898,0.255
Indonesia,IDN,1/7/2021,43808549,30184392,13624157,,1063908,872760,15.9,10.96,4.95,,3168,750707,0.272
Indonesia,IDN,2/7/2021,44661928,30891821,13770107,,853379,895324,16.21,11.21,5,,3250,772826,0.281
Indonesia,IDN,3/7/2021,45495972,31573240,13922732,,834044,920760,16.51,11.46,5.05,,3342,791587,0.287
Indonesia,IDN,4/7/2021,46043309,32063745,13979564,,547337,831216,16.71,11.64,5.07,,3017,706855,0.257
Indonesia,IDN,5/7/2021,46338202,32302268,14035934,,294893,819467,16.82,11.72,5.09,,2974,697481,0.253
Indonesia,IDN,6/7/2021,47444009,33176029,14267980,,1105807,829928,17.22,12.04,5.18,,3012,695894,0.253
Indonesia,IDN,7/7/2021,48483610,34039797,14443813,,1039601,819853,17.6,12.36,5.24,,2976,680094,0.247
Indonesia,IDN,8/7/2021,49483188,34860686,14622502,,999578,810663,17.96,12.65,5.31,,2943,668042,0.242
Indonesia,IDN,9/7/2021,50644144,35775567,14868577,,1160956,854602,18.38,12.99,5.4,,3102,697678,0.253
Indonesia,IDN,10/7/2021,51162406,36193076,14969330,,518262,809491,18.57,13.14,5.43,,2938,659977,0.24
Indonesia,IDN,11/7/2021,51278367,36267019,15011348,,115961,747865,18.61,13.16,5.45,,2715,600468,0.218
Indonesia,IDN,12/7/2021,51404659,36368191,15036468,,126292,723780,18.66,13.2,5.46,,2627,580846,0.211
Indonesia,IDN,13/7/2021,52105605,36914607,15190998,,700946,665942,18.91,13.4,5.51,,2417,534083,0.194
Indonesia,IDN,14/7/2021,54520987,38909433,15611554,,2415382,862482,19.79,14.12,5.67,,3131,695662,0.253
Indonesia,IDN,15/7/2021,55438248,39628149,15810099,,917261,850723,20.12,14.38,5.74,,3088,681066,0.247
Indonesia,IDN,16/7/2021,56169540,40228811,15940729,,731292,789342,20.39,14.6,5.79,,2865,636178,0.231
Indonesia,IDN,17/7/2021,57486482,41268627,16217855,,1316942,903439,20.87,14.98,5.89,,3279,725079,0.263
Indonesia,IDN,18/7/2021,57947614,41673464,16274150,,461132,952750,21.03,15.13,5.91,,3458,772349,0.28
Indonesia,IDN,19/7/2021,58495882,42095531,16400351,,548268,1013032,21.23,15.28,5.95,,3677,818191,0.297
Indonesia,IDN,20/7/2021,58795963,42344675,16451288,,300081,955765,21.34,15.37,5.97,,3469,775724,0.282
Indonesia,IDN,21/7/2021,59218277,42611602,16606675,,422314,671041,21.49,15.47,6.03,,2436,528881,0.192
Indonesia,IDN,22/7/2021,60051995,43155795,16896200,,833718,659107,21.8,15.66,6.13,,2392,503949,0.183
Indonesia,IDN,23/7/2021,60871399,43717254,17154145,,819404,671694,22.09,15.87,6.23,,2438,498349,0.181
Indonesia,IDN,24/7/2021,61583922,44107926,17475996,,712523,585349,22.35,16.01,6.34,,2125,405614,0.147
Indonesia,IDN,25/7/2021,62376478,44469974,17906504,,792556,632695,22.64,16.14,6.5,,2297,399501,0.145
Indonesia,IDN,26/7/2021,62858198,44728320,18129878,,481720,623188,22.82,16.24,6.58,,2262,376113,0.137
Indonesia,IDN,27/7/2021,63944892,45278549,18666343,,1086694,735561,23.21,16.43,6.78,,2670,419125,0.152
Indonesia,IDN,28/7/2021,64838074,45734912,19103162,,893182,802828,23.53,16.6,6.93,,2914,446187,0.162
Indonesia,IDN,29/7/2021,65959164,46289942,19669222,,1121090,843881,23.94,16.8,7.14,,3063,447735,0.163
Indonesia,IDN,30/7/2021,66952414,46805993,20146421,,993250,868716,24.3,16.99,7.31,,3153,441248,0.16
Indonesia,IDN,31/7/2021,67761337,47226514,20534823,,808923,882488,24.6,17.14,7.45,,3203,445513,0.162
Indonesia,IDN,1/8/2021,68151247,47478168,20673079,,389910,824967,24.74,17.23,7.5,,2994,429742,0.156
Indonesia,IDN,2/8/2021,68620908,47686483,20934425,,469661,823244,24.91,17.31,7.6,,2988,422595,0.153
Indonesia,IDN,3/8/2021,69543116,48106208,21436908,,922208,799746,25.24,17.46,7.78,,2903,403951,0.147
Indonesia,IDN,4/8/2021,70450631,48485265,21965366,,907515,801794,25.57,17.6,7.97,,2910,392908,0.143
Indonesia,IDN,5/8/2021,71044502,48834123,22210379,,593871,726477,25.79,17.73,8.06,,2637,363454,0.132
Indonesia,IDN,6/8/2021,72282882,49391058,22891824,,1238380,761495,26.24,17.93,8.31,,2764,369295,0.134
Indonesia,IDN,7/8/2021,73147087,49801823,23345264,,864205,769393,26.55,18.08,8.47,,2793,367901,0.134
Indonesia,IDN,8/8/2021,74275263,50497940,23777323,,1128176,874859,26.96,18.33,8.63,,3176,431396,0.157
Indonesia,IDN,9/8/2021,74842339,50630315,24212024,,567076,888776,27.17,18.38,8.79,,3226,420547,0.153
Indonesia,IDN,10/8/2021,76093131,51195551,24897580,,1250792,935716,27.62,18.58,9.04,,3396,441335,0.16
Indonesia,IDN,11/8/2021,77145224,51705924,25439300,,1052093,956370,28,18.77,9.23,,3471,460094,0.167
Indonesia,IDN,12/8/2021,77639416,51894566,25744850,,494192,942131,28.18,18.84,9.34,,3420,437206,0.159
Indonesia,IDN,13/8/2021,80441273,53212350,27228923,,2801857,1165484,29.2,19.31,9.88,,4230,545899,0.198
Indonesia,IDN,14/8/2021,81412426,53618870,27793556,,971153,1180763,29.55,19.46,10.09,,4286,545292,0.198
Indonesia,IDN,15/8/2021,81800407,53688122,28112285,,387981,1075021,29.69,19.49,10.2,,3902,455740,0.165
Indonesia,IDN,16/8/2021,82907666,54382680,28524986,,1107259,1152190,30.09,19.74,10.35,,4182,536052,0.195
Indonesia,IDN,17/8/2021,84141599,54982550,29159049,,1233933,1149781,30.54,19.96,10.58,,4173,541000,0.196
Indonesia,IDN,18/8/2021,84595839,55192494,29403345,,454240,1064374,30.71,20.03,10.67,,3863,498081,0.181
Indonesia,IDN,19/8/2021,86414456,56045931,30368525,,1818617,1253577,31.37,20.34,11.02,,4550,593052,0.215
Indonesia,IDN,20/8/2021,87257192,56504055,30753137,,842736,973703,31.67,20.51,11.16,,3534,470244,0.171
Indonesia,IDN,21/8/2021,88197072,56986150,31210922,,939880,969235,32.01,20.68,11.33,,3518,481040,0.175
Indonesia,IDN,22/8/2021,88941175,57339307,31601868,,744103,1020110,32.28,20.81,11.47,,3703,521598,0.189
Indonesia,IDN,23/8/2021,89825940,57779716,32046224,,884765,988325,32.6,20.97,11.63,,3587,485291,0.176
Indonesia,IDN,24/8/2021,91109808,58468810,32640998,,1283868,995458,33.07,21.22,11.85,,3613,498037,0.181
Indonesia,IDN,25/8/2021,92105838,59011333,33094505,,996030,1072857,33.43,21.42,12.01,,3894,545548,0.198
Indonesia,IDN,26/8/2021,92784183,59426934,33357249,,678345,909961,33.68,21.57,12.11,,3303,483000,0.175
Indonesia,IDN,27/8/2021,94556758,60435555,34121203,,1772575,1042795,34.32,21.94,12.39,,3785,561643,0.204
Indonesia,IDN,28/8/2021,95925079,61222258,34702821,,1368321,1104001,34.82,22.22,12.6,,4007,605158,0.22
Indonesia,IDN,29/8/2021,96512676,61654676,34858000,,587597,1081643,35.03,22.38,12.65,,3926,616481,0.224
Indonesia,IDN,30/8/2021,97609356,62294896,35314460,,1096680,1111917,35.43,22.61,12.82,,4036,645026,0.234
Indonesia,IDN,31/8/2021,98966499,63111288,35855211,,1357143,1122384,35.92,22.91,13.01,,4074,663211,0.241
Indonesia,IDN,1/9/2021,100288175,63944955,36343220,,1321676,1168905,36.4,23.21,13.19,,4243,704803,0.256
Indonesia,IDN,2/9/2021,101602002,64742601,36859401,,1313827,1259688,36.88,23.5,13.38,,4572,759381,0.276
Indonesia,IDN,3/9/2021,103542706,65894673,37648033,,1940704,1283707,37.58,23.92,13.67,,4660,779874,0.283
Indonesia,IDN,4/9/2021,104384321,66353669,38030652,,841615,1208463,37.89,24.08,13.8,,4386,733059,0.266
Indonesia,IDN,5/9/2021,105005826,66782673,38223153,,621505,1213307,38.11,24.24,13.87,,4404,732571,0.266
Indonesia,IDN,6/9/2021,105627444,67155353,38472091,,621618,1145441,38.34,24.38,13.96,,4158,694351,0.252
Indonesia,IDN,7/9/2021,107374568,68208588,39165980,,1747124,1201153,38.97,24.76,14.22,,4360,728186,0.264
Indonesia,IDN,8/9/2021,108916110,69194539,39721571,,1541542,1232562,39.53,25.12,14.42,,4474,749941,0.272
Indonesia,IDN,9/9/2021,110685380,70322560,40362820,,1769270,1297625,40.18,25.53,14.65,,4710,797137,0.289
Indonesia,IDN,10/9/2021,112043252,71175259,40867993,,1357872,1214364,40.67,25.83,14.83,,4408,754369,0.274
Indonesia,IDN,11/9/2021,113783060,72248720,41534340,,1739808,1342677,41.3,26.22,15.08,,4874,842150,0.306
Indonesia,IDN,12/9/2021,114500929,72766195,41734734,,717869,1356443,41.56,26.41,15.15,,4924,854789,0.31
Indonesia,IDN,13/9/2021,115415402,73310563,42104839,,914473,1398280,41.89,26.61,15.28,,5075,879316,0.319
Indonesia,IDN,14/9/2021,116822846,74257515,42565331,,1407444,1349754,42.4,26.95,15.45,,4899,864132,0.314
Indonesia,IDN,15/9/2021,118103364,75140724,42962640,,1280518,1312465,42.87,27.27,15.59,,4764,849455,0.308
Indonesia,IDN,16/9/2021,119638458,76153487,43484971,,1535094,1279011,43.43,27.64,15.78,,4642,832990,0.302
Indonesia,IDN,17/9/2021,121542203,77417488,44124715,,1903745,1356993,44.12,28.1,16.02,,4926,891747,0.324
Indonesia,IDN,18/9/2021,123257089,78540519,44716570,,1714886,1353433,44.74,28.51,16.23,,4913,898828,0.326
Indonesia,IDN,19/9/2021,124649550,79515356,45134194,,1392461,1449803,45.24,28.86,16.38,,5262,964166,0.35
Indonesia,IDN,20/9/2021,124882412,79657762,45224650,,232862,1352430,45.33,28.91,16.42,,4909,906743,0.329
Indonesia,IDN,21/9/2021,126261777,80408744,45853033,,1379365,1348419,45.83,29.19,16.64,,4894,878747,0.319
Indonesia,IDN,22/9/2021,128609965,82113788,46496177,,2348188,1500943,46.68,29.81,16.88,,5448,996152,0.362
Indonesia,IDN,23/9/2021,130228475,83248128,46980347,,1618510,1512860,47.27,30.22,17.05,,5491,1013520,0.368
Indonesia,IDN,24/9/2021,132572040,84863899,47708141,,2343565,1575691,48.12,30.8,17.32,,5719,1063773,0.386
Indonesia,IDN,25/9/2021,133429623,85433518,47996105,,857583,1453219,48.43,31.01,17.42,,5275,984714,0.357
Indonesia,IDN,26/9/2021,134987333,86460685,48526648,,1557710,1476826,49,31.38,17.61,,5361,992190,0.36
Indonesia,IDN,27/9/2021,136078002,87162526,48915476,,1090669,1599370,49.39,31.64,17.76,,5805,1072109,0.389
Indonesia,IDN,28/9/2021,138186855,88531137,49655718,,2108853,1703583,50.16,32.13,18.02,,6184,1160342,0.421
Indonesia,IDN,29/9/2021,140235980,89822987,50412993,,2049125,1660859,50.9,32.6,18.3,,6028,1101314,0.4
Indonesia,IDN,30/9/2021,142192361,91079001,51113360,,1956381,1709127,51.61,33.06,18.55,,6204,1118696,0.406
Indonesia,IDN,1/10/2021,143911698,92161001,51750697,,1719337,1619951,52.24,33.45,18.78,,5880,1042443,0.378
Indonesia,IDN,2/10/2021,145383060,93066494,52316566,,1471362,1707634,52.77,33.78,18.99,,6198,1090425,0.396
Indonesia,IDN,3/10/2021,146456498,93780446,52676052,,1073438,1638452,53.16,34.04,19.12,,5947,1045680,0.38
Indonesia,IDN,4/10/2021,147230613,94223690,53006923,,774115,1593230,53.44,34.2,19.24,,5783,1008738,0.366
Indonesia,IDN,5/10/2021,148596138,94939217,53656921,,1365525,1487040,53.94,34.46,19.48,,5398,915440,0.332
Indonesia,IDN,6/10/2021,150223752,95781773,54441979,,1627614,1426825,54.53,34.77,19.76,,5179,851255,0.309
Indonesia,IDN,7/10/2021,151451699,96492154,54959545,,1227947,1322763,54.97,35.02,19.95,,4801,773308,0.281
Indonesia,IDN,8/10/2021,154252314,98146308,56106006,,2800615,1477231,55.99,35.62,20.37,,5362,855044,0.31
Indonesia,IDN,9/10/2021,156281958,99373294,56908664,,2029644,1556985,56.73,36.07,20.66,,5651,900971,0.327
Indonesia,IDN,10/10/2021,157468784,100059481,57409303,,1186826,1573184,57.16,36.32,20.84,,5710,897005,0.326
Indonesia,IDN,11/10/2021,157929575,100322375,57607200,,460791,1528423,57.32,36.41,20.91,,5548,871241,0.316
Indonesia,IDN,12/10/2021,159768474,101362894,58405580,,1838899,1596048,57.99,36.79,21.2,,5793,917668,0.333
Indonesia,IDN,13/10/2021,162097315,102685817,59411498,,2328841,1696223,58.84,37.27,21.56,,6157,986292,0.358
Indonesia,IDN,14/10/2021,164730775,104308702,60422073,,2633460,1897011,59.79,37.86,21.93,,6886,1116650,0.405
Indonesia,IDN,15/10/2021,166861741,105464686,61397055,,2130966,1801347,60.57,38.28,22.29,,6538,1045483,0.379
Indonesia,IDN,16/10/2021,168836886,106669970,62166916,,1975145,1793561,61.28,38.72,22.57,,6510,1042382,0.378
Indonesia,IDN,17/10/2021,170235796,107503228,62732568,,1398910,1823859,61.79,39.02,22.77,,6620,1063392,0.386
Indonesia,IDN,18/10/2021,171169816,107981016,63188800,,934020,1891463,62.13,39.19,22.94,,6866,1094092,0.397
Indonesia,IDN,19/10/2021,173014525,109005627,64008898,,1844709,1892293,62.8,39.57,23.23,,6869,1091819,0.396
Indonesia,IDN,20/10/2021,174419558,109796866,64622692,,1405033,1760320,63.31,39.85,23.46,,6390,1015864,0.369
Indonesia,IDN,21/10/2021,175579925,110406777,65173148,,1160367,1549879,63.73,40.07,23.66,,5626,871154,0.316
Indonesia,IDN,22/10/2021,177812708,111496041,66316667,,2232783,1564424,64.54,40.47,24.07,,5678,861622,0.313
Indonesia,IDN,23/10/2021,179437660,112271928,67165732,,1624952,1514396,65.13,40.75,24.38,,5497,800280,0.29
Indonesia,IDN,24/10/2021,180948208,113032768,67915440,,1510548,1530345,65.68,41.03,24.65,,5555,789934,0.287
Indonesia,IDN,25/10/2021,181688388,113424379,68264009,,740180,1502653,65.95,41.17,24.78,,5454,777623,0.282
Indonesia,IDN,26/10/2021,183477223,114347101,69130122,,1788835,1494671,66.6,41.51,25.09,,5425,763068,0.277
Indonesia,IDN,27/10/2021,185616142,115502524,70113618,,2138919,1599512,67.37,41.92,25.45,,5806,815094,0.296
Indonesia,IDN,28/10/2021,187720150,116620281,71099869,,2104008,1734318,68.14,42.33,25.81,,6295,887643,0.322
Indonesia,IDN,29/10/2021,189750191,117689114,72061077,,2030041,1705355,68.87,42.72,26.16,,6190,884725,0.321
Indonesia,IDN,30/10/2021,192442506,119151818,73290688,,2692315,1857835,69.85,43.25,26.6,,6743,982841,0.357
Indonesia,IDN,31/10/2021,193361231,119662248,73698983,,918725,1773289,70.19,43.43,26.75,,6437,947069,0.344
Indonesia,IDN,1/11/2021,194141514,120052587,74088927,,780283,1779018,70.47,43.58,26.89,,6457,946887,0.344
Indonesia,IDN,2/11/2021,195693514,120887847,74805667,,1552000,1745184,71.03,43.88,27.15,,6335,934392,0.339
Indonesia,IDN,3/11/2021,197804943,121975753,75829190,,2111429,1741257,71.8,44.27,27.52,,6320,924747,0.336
Indonesia,IDN,4/11/2021,199539846,122852096,76687750,,1734903,1688528,72.43,44.59,27.84,,6129,890259,0.323
Indonesia,IDN,5/11/2021,201512037,123824199,77687838,,1972191,1680264,73.14,44.95,28.2,,6099,876441,0.318
Indonesia,IDN,6/11/2021,202270239,124156167,78114072,,758202,1403962,73.42,45.07,28.35,,5096,714907,0.259
Indonesia,IDN,7/11/2021,204100126,125105963,78994163,,1829887,1534128,74.08,45.41,28.67,,5568,777674,0.282
Indonesia,IDN,8/11/2021,204606962,125394487,79212475,,506836,1495064,74.27,45.52,28.75,,5427,763129,0.277
Indonesia,IDN,9/11/2021,206529810,126459285,80070525,,1922848,1548042,74.97,45.9,29.06,,5619,795920,0.289
Indonesia,IDN,10/11/2021,208289405,127335266,80954139,,1759595,1497780,75.6,46.22,29.38,,5437,765645,0.278
Indonesia,IDN,11/11/2021,209858444,128147345,81711099,,1569039,1474085,76.17,46.51,29.66,,5351,756464,0.275
Indonesia,IDN,12/11/2021,211907880,129089388,82818492,,2049436,1485120,76.92,46.86,30.06,,5391,752170,0.273
Indonesia,IDN,13/11/2021,213128276,129710190,83418086,,1220396,1551148,77.36,47.08,30.28,,5630,793432,0.288
Indonesia,IDN,14/11/2021,214445104,130283345,84161759,,1316828,1477854,77.84,47.29,30.55,,5364,739626,0.268
Indonesia,IDN,15/11/2021,215168960,130616514,84552446,,723856,1508857,78.1,47.41,30.69,,5477,746004,0.271
Indonesia,IDN,16/11/2021,216663555,131292871,85370684,,1494595,1447678,78.64,47.66,30.99,,5255,690512,0.251
Indonesia,IDN,17/11/2021,218286093,132006377,86279716,,1622538,1428098,79.23,47.91,31.32,,5184,667302,0.242
Indonesia,IDN,18/11/2021,218409909,132073986,86335923,,123816,1221638,79.28,47.94,31.34,,4434,560949,0.204
Indonesia,IDN,19/11/2021,221362168,133402051,87960117,,2952259,1350613,80.35,48.42,31.93,,4902,616095,0.224
Indonesia,IDN,20/11/2021,222785206,134025009,88760197,,1423038,1379561,80.87,48.65,32.22,,5007,616403,0.224
Indonesia,IDN,21/11/2021,223638627,134418286,89220341,,853421,1313360,81.18,48.79,32.38,,4767,590706,0.214
Indonesia,IDN,22/11/2021,224041006,134614136,89426870,,402379,1267435,81.32,48.86,32.46,,4600,571089,0.207
Indonesia,IDN,23/11/2021,225644845,135417063,90227782,,1603839,1283041,81.9,49.15,32.75,,4657,589170,0.214
Indonesia,IDN,24/11/2021,227295834,136080848,91214986,,1650989,1287106,82.5,49.39,33.11,,4672,582067,0.211
Indonesia,IDN,25/11/2021,228987709,136713147,92274562,,1691875,1511114,83.12,49.62,33.49,,5485,662737,0.241
Indonesia,IDN,26/11/2021,230610233,137505204,93105029,,1622524,1321152,83.71,49.91,33.79,,4795,586165,0.213
Indonesia,IDN,27/11/2021,231786452,138119613,93666839,,1176219,1285892,84.13,50.13,34,,4667,584943,0.212
Indonesia,IDN,28/11/2021,232869968,138530231,94339737,,1083516,1318763,84.53,50.28,34.24,,4787,587421,0.213
Indonesia,IDN,29/11/2021,233664522,138908862,94755660,,794554,1374788,84.81,50.42,34.39,,4990,613532,0.223
Indonesia,IDN,30/11/2021,234839306,139365438,95473868,,1174784,1313494,85.24,50.59,34.65,,4768,564054,0.205
